
2025/04/06 (14:54:58) | ===> btop++ v.1.4.0
2025/04/06 (14:54:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/06 (14:54:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (11:01:25) | ===> btop++ v.1.4.0
2025/04/07 (11:01:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/07 (11:01:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (13:47:47) | ===> btop++ v.1.4.0
2025/04/08 (13:47:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (13:47:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (13:53:52) | ===> btop++ v.1.4.0
2025/04/08 (13:53:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (13:53:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (14:06:52) | ===> btop++ v.1.4.0
2025/04/08 (14:06:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (14:06:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (21:17:51) | ===> btop++ v.1.4.0
2025/04/08 (21:17:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/08 (21:17:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (21:09:43) | ===> btop++ v.1.4.0
2025/04/10 (21:09:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/10 (21:09:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (21:12:34) | ===> btop++ v.1.4.0
2025/04/10 (21:12:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/10 (21:12:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (13:51:31) | ===> btop++ v.1.4.0
2025/04/11 (13:51:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/11 (13:51:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (08:29:48) | ===> btop++ v.1.4.0
2025/04/13 (08:29:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (08:29:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (12:41:44) | ===> btop++ v.1.4.0
2025/04/13 (12:41:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (12:41:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (12:42:13) | ===> btop++ v.1.4.0
2025/04/13 (12:42:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (12:42:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (12:42:25) | ===> btop++ v.1.4.0
2025/04/13 (12:42:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (12:42:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/13 (12:44:19) | ===> btop++ v.1.4.0
2025/04/13 (12:44:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/13 (12:44:19) | WARNING: Intel GPU: Failed to initialize PMU
