a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230802.1-1
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.13.0-3
alsa-card-profiles 1:1.0.0-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
aom 3.8.0-2
apg 2.2.3-5
appstream 1.0.1-1
apr 1.7.4-1
apr-util 1.6.3-1
arandr 0.1.11-2
arc-gtk-theme-eos 20221218-1
archlinux-keyring 20231222-1
archlinux-xdg-menu 0.7.6.6-1
argon2 20190702-5
at-spi2-core 2.50.0-1
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
autoconf-archive 1:2023.02.20-1
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-4
base 3-2
base-devel 1-1
bash 5.2.021-1
bash-completion 2.11-3
bat 0.24.0-1
bc 1.07.1-4
biber 1:2.19-2
bibtool 2.68-5
bibutils 7.2-2
bind 9.18.21-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
blueman 2.3.5-2
bluez 5.71-3
bluez-libs 5.71-3
bluez-utils 5.71-3
bmon 4.0-4
boost 1.83.0-4
boost-libs 1.83.0-4
box2d 2.4.1-2
brave-bin 1:1.61.109-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.1.0-1
btop 1.2.13-1
btrfs-assistant 1.8-2
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
byobu 5.133-3
bzip2 1.0.8-5
c-ares 1.24.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.96.1-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
ccze 0.2.1-12
cdparanoia 10.2-9
chimerax 1.6.1-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
clucene 2.3.3.4-14
clutter 1.26.4-2
clutter-gtk 1.8.4-3
cmake 3.28.1-1
cmatrix 2.0-2
cogl 1.22.8-2
colord 1.4.6-1
confuse 3.3-3
containerd 1.7.11-1
coreutils 9.4-2
cpio 2.14-1
cppdap 1.58.0-1
cryptsetup 2.6.1-3
curl 8.5.0-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
dejagnu 1.6.3-7
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dex 0.9.0-1
dhclient 4.4.3.P1-2
diffutils 3.10-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dkms 3.0.12-1
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:24.0.7-1
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracut 059-4
dropbox 186.4.6207-1
duf 0.8.1-2
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
efibootmgr 18-2
efitools 1.9.2-5
efivar 38-3
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
eigen 3.4.0-1
electron22 22.3.27-3
elementary-icon-theme 7.3.1-1
ell 0.61-1
enchant 2.6.4-2
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 23.16-1
endeavouros-skel-default 1.9-1
endeavouros-skel-i3wm 4.10-1
endeavouros-theming 23.11.1.1-1
endeavouros-xfce4-terminal-colors 5-1
envycontrol 3.3.1-1
eos-apps-info 23-7
eos-bash-shared 23.31-1
eos-hooks 1.15-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 23-3
eos-packagelist 2.2-1
eos-qogir-icons 5-1
eos-quickstart 1.3.1-2
eos-rankmirrors 2.26-1
eos-translations 23.14-1
eos-update-notifier 23-17
ethtool 1:6.5-1
evince 45.0-1
exfatprogs 1.2.2-1
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
expect 5.45.4-4
extra-cmake-modules 5.113.0-1
eza 0.17.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.32.2-1
feh 3.10.2-1
ffcall 2.4-2
ffmpeg 2:6.1-3
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.45-1
file-roller 43.1-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 121.0-1
firewalld 2.0.2-1
flac 1.4.3-1
flatpak 1:1.15.6-1
flex 2.6.4-5
fluidsynth 2.3.4-1
fontconfig 2:2.15.0-2
fontforge 20230101-3
freeglut 3.4.0-1
freetube 0.19.1-1
freetype2 2.13.2-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
fzf 0.44.1-1
galculator 2.1.4-8
garcon 4.18.1-1
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcc12 12.3.0-3
gcc12-libs 12.3.0-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gendesk 1.0.9-3
geoclue 2.7.1-1
gettext 0.22.4-1
ghc-libs 9.0.2-3
ghostscript 10.02.1-1
giflib 5.2.1-2
girara 0.4.1-1
git 2.43.0-1
git-filter-repo 2.38.0-1
glances 3.4.0.3-1
glib-networking 1:2.78.0-1
glib2 2.78.3-1
glib2-docs 2.78.3-1
glibc 2.38-7
glibmm 2.66.6-1
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-common 3.18.0-4
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnupg 2.4.3-2
gnutls 3.8.2-1
go 2:1.21.5-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gperftools 2.13-2
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
gsettings-desktop-schemas 45.0-1
